codigo_postal,Income_Range,V_PROFESSION_CD,V_SEX,N_COLL_SCHOLARSHIP_LEVEL,EDAD,ID,AGEB
2100,4,6.0,1.0,5,23,4108,117-A
97205,1,36.0,1.0,3,26,4109,245-1
20030,2,24.0,1.0,5,26,4110,037-5
45650,2,6.0,2.0,5,28,4111,143-7
4480,1,2.0,2.0,4,65,4112,130-2
36590,4,1.0,1.0,5,48,4114,118-4
45640,4,37.0,1.0,4,50,4117,250-5
64720,1,6.0,1.0,4,21,4119,465-7
37297,1,2.0,2.0,2,50,4120,128-3
4340,2,6.0,1.0,5,27,4121,037-6
52104,2,6.0,1.0,3,21,4122,036-3
52177,5,2.0,2.0,5,28,4123,089-8
31460,2,6.0,1.0,4,24,4124,250-3
9410,3,6.0,1.0,5,26,4125,245-6
7010,1,25.0,2.0,5,21,4126,080-7
10010,3,2.0,1.0,4,25,4127,015-6
54474,3,6.0,1.0,5,25,4128,060-7
2800,3,6.0,2.0,5,27,4132,083-9
1490,2,21.0,2.0,5,20,4133,064-8
91779,4,6.0,1.0,2,36,4134,214-4
39350,2,2.0,1.0,5,26,4135,277-4
3300,3,5.0,1.0,5,28,4138,099-0
1080,2,6.0,1.0,5,25,4139,122-2
1110,1,2.0,1.0,3,26,4141,207-6
84000,2,21.0,1.0,5,21,4142,024-8
38400,1,6.0,1.0,2,22,4143,026-3
22246,4,2.0,2.0,5,52,4144,607-A
20126,2,6.0,1.0,3,21,4145,413-2
37358,2,6.0,1.0,4,20,4147,378-8
37390,1,27.0,2.0,4,23,4149,099-5
91190,2,24.0,1.0,5,23,4150,103-5
72990,4,6.0,2.0,5,24,4152,041-4
45650,2,1.0,2.0,4,24,4154,128-2
88777,3,8.0,1.0,5,25,4155,250-2
7320,2,6.0,1.0,3,21,4156,285-6
50850,3,32.0,1.0,4,20,4158,007-0
7870,7,6.0,1.0,4,20,4159,174-A
57410,3,24.0,1.0,5,36,4160,035-0
54197,1,6.0,1.0,3,23,4161,165-4
62600,2,26.0,1.0,5,26,4162,015-5
32575,2,6.0,2.0,2,37,4163,584-5
1280,2,4.0,1.0,5,21,4164,145-3
55767,1,6.0,1.0,2,21,4165,028-9
43740,2,6.0,1.0,5,25,4166,030-9
52773,3,6.0,2.0,5,35,4167,070-2
43700,2,6.0,2.0,3,22,4169,043-1
29000,3,2.0,2.0,5,54,4170,094-6
22654,2,24.0,1.0,3,20,4171,752-3
38160,2,6.0,1.0,5,21,4172,051-8
76116,2,6.0,1.0,4,41,4173,279-5
2300,3,6.0,1.0,5,25,4174,087-7
7440,2,6.0,1.0,1,47,4175,317-8
55490,1,20.0,1.0,2,66,4176,280-3
9700,2,9.0,1.0,5,33,4177,551-6
42082,2,6.0,1.0,5,21,4178,140-4
67130,3,6.0,2.0,4,19,4180,016-2
7510,2,20.0,1.0,2,68,4181,120-3
78340,2,6.0,1.0,3,22,4183,221-5
76125,3,6.0,1.0,4,21,4184,192-2
54190,4,6.0,1.0,3,39,4185,118-A
50850,3,9.0,2.0,4,24,4187,007-0
55630,2,6.0,1.0,3,34,4188,026-A
7010,2,6.0,1.0,5,33,4189,080-7
56514,1,6.0,1.0,3,48,4190,123-0
56614,3,6.0,1.0,3,20,4191,022-6
76830,2,6.0,2.0,3,42,4192,041-6
15970,7,2.0,1.0,4,36,4193,071-9
55700,2,6.0,1.0,2,22,4194,003-3
77710,2,6.0,1.0,5,27,4195,004-8
7969,3,22.0,2.0,5,52,4196,231-A
29019,1,6.0,1.0,4,25,4197,292-3
7950,2,6.0,1.0,4,32,4199,213-1
6200,3,6.0,1.0,3,21,4200,034-3
36900,2,15.0,2.0,3,22,4201,022-A
63732,2,8.0,1.0,5,35,4202,065-8
54110,4,2.0,2.0,5,36,4203,007-3
9220,1,2.0,2.0,5,22,4204,007-4
7550,1,6.0,1.0,3,23,4205,153-8
52172,2,6.0,2.0,5,24,4206,099-1
32599,2,6.0,1.0,3,20,4207,821-4
54763,3,6.0,1.0,4,30,4209,135-4
8500,3,26.0,2.0,5,25,4211,031-0
54760,3,6.0,2.0,5,24,4212,051-5
89580,2,6.0,1.0,3,22,4214,076-2
22470,2,6.0,2.0,3,21,4216,241-4
54190,2,6.0,1.0,5,23,4217,235-1
15900,3,1.0,2.0,5,25,4218,075-7
25140,3,6.0,2.0,5,27,4219,022-9
42088,3,9.0,2.0,5,26,4220,281-1
54430,3,1.0,2.0,4,23,4221,041-4
53714,4,1.0,2.0,8,32,4222,186-4
7269,2,6.0,2.0,5,23,4223,280-3
7270,3,2.0,2.0,3,24,4224,031-3
50180,2,6.0,1.0,5,25,4225,206-A
50120,3,6.0,1.0,5,25,4226,052-3
85203,1,2.0,1.0,5,40,4227,307-6
29019,3,6.0,1.0,4,20,4228,293-8
1270,2,6.0,1.0,3,21,4229,198-5
57750,2,2.0,1.0,4,22,4230,128-9
15000,2,6.0,1.0,3,24,4231,124-2
78395,4,6.0,1.0,5,27,4233,109-6
54890,2,6.0,1.0,5,26,4234,034-A
52977,2,1.0,2.0,5,28,4235,078-7
89600,2,7.0,2.0,2,37,4236,018-6
64350,3,24.0,1.0,3,51,4237,350-2
10369,2,6.0,2.0,5,27,4239,058-4
42840,4,6.0,1.0,1,62,4240,054-2
2050,2,6.0,2.0,3,21,4241,048-7
1840,4,6.0,1.0,2,42,4242,205-7
54080,3,6.0,1.0,2,28,4243,096-1
42084,2,6.0,2.0,5,24,4244,134-9
62765,2,6.0,1.0,5,35,4245,013-1
42070,2,6.0,1.0,3,36,4248,153-1
88703,2,25.0,1.0,4,21,4249,298-3
67543,1,6.0,2.0,4,23,4250,063-8
55060,3,5.0,2.0,5,24,4251,463-6
97203,2,1.0,1.0,5,49,4253,449-6
55270,2,6.0,1.0,3,21,4256,114-8
66050,3,6.0,1.0,5,36,4257,131-9
6800,3,2.0,2.0,3,25,4258,115-9
76113,2,6.0,2.0,3,36,4259,290-1
27296,2,6.0,1.0,5,26,4260,293-1
53570,2,6.0,1.0,3,19,4262,221-8
11200,3,6.0,1.0,3,21,4263,136-8
54955,2,6.0,2.0,2,24,4264,077-5
50010,3,1.0,1.0,5,31,4265,325-0
57000,2,6.0,2.0,4,39,4266,058-1
1296,2,6.0,1.0,3,22,4268,148-7
67250,2,20.0,1.0,2,42,4269,016-2
39550,2,6.0,1.0,4,20,4270,457-3
15640,1,6.0,1.0,3,21,4272,147-3
54760,3,6.0,1.0,2,25,4274,051-5
8400,2,25.0,2.0,3,24,4275,109-4
66050,3,6.0,1.0,5,20,4277,040-A
22470,2,6.0,1.0,3,26,4278,241-4
44330,4,6.0,1.0,5,26,4279,485-1
30110,3,,1.0,5,27,4280,009-8
55600,1,6.0,1.0,5,24,4281,029-3
56536,2,6.0,1.0,5,27,4282,168-8
2810,3,5.0,1.0,3,29,4283,074-A
54930,4,6.0,1.0,1,39,4284,117-1
50290,3,6.0,1.0,2,27,4285,151-7
86800,2,6.0,1.0,1,48,4287,019-4
62743,2,6.0,1.0,5,27,4288,022-6
6300,3,6.0,2.0,2,40,4290,061-0
4630,2,7.0,2.0,2,62,4291,083-6
56343,2,6.0,2.0,4,25,4292,098-2
22710,3,6.0,1.0,2,42,4293,047-2
54960,3,5.0,2.0,3,22,4295,033-5
55210,3,6.0,1.0,4,27,4296,355-3
66050,1,6.0,1.0,3,21,4297,092-7
57178,4,20.0,1.0,5,62,4298,206-0
84094,2,6.0,2.0,2,34,4299,187-1
78110,2,7.0,1.0,3,22,4300,350-A
1400,3,2.0,1.0,3,61,4302,049-3
77539,3,6.0,1.0,3,25,4303,309-3
77539,2,6.0,1.0,5,21,4304,309-3
56623,3,27.0,1.0,5,28,4305,197-9
58970,1,6.0,1.0,3,23,4306,005-A
4369,2,33.0,2.0,3,54,4307,115-8
2240,2,6.0,2.0,4,33,4308,021-8
67250,3,6.0,1.0,3,40,4309,016-2
86800,1,15.0,1.0,2,60,4310,013-7
57730,2,6.0,1.0,5,21,4311,123-6
55027,3,33.0,2.0,5,21,4312,458-5
30170,1,6.0,1.0,3,35,4313,020-2
50130,1,2.0,1.0,5,21,4314,060-8
43997,2,26.0,1.0,5,21,4315,049-9
53840,3,6.0,1.0,3,23,4316,228-A
66634,3,6.0,1.0,5,24,4317,148-8
66450,2,6.0,1.0,5,22,4320,167-6
52600,1,2.0,2.0,5,31,4321,023-0
4340,2,5.0,2.0,5,22,4322,036-1
20260,1,6.0,2.0,2,23,4323,212-1
22210,2,2.0,1.0,3,26,4324,251-8
5410,2,6.0,1.0,2,20,4326,038-8
62554,2,26.0,2.0,5,24,4327,107-A
1410,3,6.0,1.0,3,32,4328,047-4
8900,2,2.0,1.0,5,28,4329,082-3
54680,1,6.0,1.0,5,18,4330,017-8
55490,3,5.0,1.0,5,30,4332,279-0
54840,3,6.0,1.0,5,23,4333,246-0
68040,4,9.0,2.0,5,25,4335,087-8
4480,2,1.0,2.0,5,20,4337,176-4
45613,2,2.0,2.0,5,25,4339,288-A
67116,2,5.0,1.0,4,23,4340,103-3
50170,1,5.0,1.0,5,21,4341,332-0
43904,2,6.0,1.0,4,23,4343,009-7
72016,2,6.0,2.0,3,21,4344,615-9
39610,1,6.0,1.0,3,21,4345,447-A
22117,2,6.0,1.0,3,25,4348,696-8
54070,3,5.0,1.0,2,25,4349,065-6
22237,2,6.0,1.0,4,28,4350,458-6
50080,3,6.0,1.0,5,30,4351,043-4
22237,2,26.0,1.0,4,27,4352,458-6
39689,2,6.0,1.0,5,25,4353,210-0
45400,3,6.0,1.0,5,22,4354,188-9
55220,3,6.0,2.0,3,25,4355,101-0
29045,1,6.0,1.0,1,61,4356,302-9
78395,4,24.0,1.0,5,28,4358,109-6
51500,2,4.0,2.0,5,24,4360,008-1
56589,2,6.0,1.0,3,27,4361,205-0
36100,2,6.0,2.0,2,37,4362,008-5
31370,1,6.0,2.0,4,40,4363,203-9
12100,4,6.0,1.0,4,25,4364,051-A
76114,2,4.0,2.0,5,24,4366,106-8
1849,3,1.0,2.0,3,22,4367,168-4
60950,3,6.0,1.0,5,33,4368,049-3
56430,4,32.0,2.0,5,26,4369,015-8
8040,3,24.0,2.0,5,22,4370,116-4
72150,1,6.0,2.0,5,26,4371,359-7
54715,2,20.0,2.0,3,62,4373,147-7
20205,3,5.0,1.0,5,25,4374,137-3
54407,2,6.0,1.0,1,49,4375,064-5
14250,1,6.0,2.0,3,37,4376,091-A
1430,4,6.0,2.0,5,25,4377,068-6
6300,2,6.0,1.0,3,20,4378,063-A
7820,1,6.0,1.0,4,25,4379,184-3
45180,3,6.0,1.0,2,22,4380,409-4
54900,1,6.0,2.0,3,31,4381,035-1
45070,3,2.0,1.0,5,26,4383,442-7
36200,3,5.0,2.0,5,26,4384,008-1
2720,3,37.0,1.0,4,22,4385,063-1
9850,2,6.0,1.0,3,20,4387,396-7
55719,3,2.0,2.0,5,22,4389,042-3
90790,1,6.0,2.0,3,21,4390,011-A
2240,2,2.0,1.0,2,21,4393,022-2
51355,3,6.0,2.0,5,26,4394,068-5
42070,2,21.0,2.0,5,22,4395,100-A
15020,2,6.0,2.0,3,23,4396,127-6
36640,2,6.0,1.0,4,24,4397,078-8
56536,2,20.0,2.0,2,57,4399,189-A
7350,4,6.0,1.0,3,26,4400,035-1
6920,2,2.0,1.0,4,40,4401,008-0
7070,2,6.0,1.0,5,24,4402,116-7
9960,2,5.0,2.0,3,28,4403,540-8
6140,2,6.0,2.0,5,21,4406,130-3
9410,2,6.0,1.0,2,50,4407,036-0
54870,4,6.0,2.0,5,28,4408,009-A
54090,1,8.0,2.0,3,34,4409,185-1
54160,2,24.0,1.0,3,28,4410,196-A
44990,2,7.0,1.0,3,21,4412,354-8
4369,1,1.0,2.0,8,20,4413,078-5
78430,3,6.0,1.0,3,23,4414,132-A
50170,4,6.0,1.0,4,50,4417,208-9
36970,2,6.0,2.0,1,53,4419,018-6
22206,4,2.0,1.0,5,37,4420,714-8
22056,6,6.0,2.0,5,31,4421,310-7
37538,3,6.0,1.0,5,22,4422,322-2
22253,4,2.0,1.0,6,47,4424,803-8
32618,3,6.0,1.0,5,29,4425,211-1
54935,2,6.0,2.0,4,21,4426,114-8
42186,1,6.0,1.0,2,24,4427,138-2
34237,4,6.0,1.0,5,40,4428,563-7
22206,4,26.0,2.0,5,24,4429,203-9
32575,3,2.0,2.0,5,25,4430,768-2
77516,2,6.0,1.0,3,20,4431,148-7
16090,2,5.0,1.0,5,24,4434,032-A
7990,2,6.0,1.0,5,22,4435,246-6
7340,2,6.0,2.0,3,22,4436,313-A
42186,2,6.0,2.0,3,20,4437,092-9
13040,3,9.0,2.0,5,30,4439,045-2
93600,3,6.0,2.0,2,35,4440,016-2
9860,1,32.0,2.0,5,27,4443,197-5
43800,2,6.0,1.0,2,23,4444,022-8
67250,1,6.0,2.0,3,20,4445,028-5
55700,2,9.0,1.0,3,20,4446,004-8
6880,2,6.0,1.0,3,21,4448,149-8
52990,2,26.0,1.0,3,20,4449,092-7
57820,1,6.0,1.0,5,27,4454,084-4
45190,3,15.0,1.0,3,20,4455,311-3
9520,2,6.0,2.0,5,22,4456,084-A
14330,3,6.0,1.0,5,28,4457,216-A
57200,3,9.0,1.0,2,25,4458,026-1
54070,3,6.0,1.0,5,24,4459,065-6
55120,3,2.0,1.0,3,21,4460,045-5
62766,1,6.0,2.0,5,24,4461,051-7
2720,3,26.0,2.0,5,25,4462,063-1
52966,2,26.0,1.0,5,23,4463,079-1
45650,2,1.0,1.0,2,19,4464,128-2
92770,3,6.0,1.0,4,36,4466,028-7
57000,3,1.0,1.0,5,25,4467,079-3
32599,3,6.0,2.0,5,27,4469,619-0
7600,2,6.0,1.0,3,39,4470,329-0
8100,2,4.0,1.0,5,26,4471,117-9
15270,2,6.0,2.0,4,24,4472,021-0
83100,2,6.0,2.0,4,27,4473,290-3
32697,2,25.0,2.0,5,32,4474,464-A
7520,3,6.0,1.0,5,26,4475,103-A
7300,4,5.0,2.0,3,53,4476,073-7
7530,2,8.0,1.0,6,29,4477,152-3
9760,2,6.0,1.0,3,24,4478,332-7
9200,3,6.0,1.0,5,25,4479,473-4
55718,2,6.0,1.0,5,23,4480,047-6
57710,5,6.0,1.0,5,37,4481,083-A
9440,3,6.0,1.0,3,23,4482,049-8
54040,2,2.0,1.0,5,25,4483,028-5
52928,2,6.0,2.0,3,21,4484,166-2
64630,4,6.0,2.0,5,23,4485,162-9
20030,2,6.0,1.0,2,28,4487,037-5
71240,2,26.0,1.0,3,20,4488,015-8
14270,2,6.0,1.0,4,21,4489,154-7
53660,2,6.0,1.0,4,27,4490,032-A
75809,2,6.0,2.0,4,40,4491,016-4
55310,2,6.0,1.0,3,21,4493,314-4
22000,3,7.0,2.0,3,23,4494,292-7
29040,2,20.0,1.0,5,72,4495,118-3
50180,1,6.0,2.0,4,34,4496,063-1
67190,1,6.0,1.0,3,19,4497,197-4
77500,1,6.0,2.0,2,26,4500,064-8
77500,1,24.0,1.0,5,21,4501,064-8
52966,2,6.0,1.0,5,25,4502,079-1
44840,2,6.0,1.0,4,25,4504,266-2
50285,3,6.0,1.0,4,20,4505,149-A
52773,2,2.0,1.0,3,20,4506,042-0
53340,4,5.0,2.0,5,24,4507,135-1
67110,4,26.0,2.0,5,27,4508,025-1
55025,2,6.0,2.0,5,31,4511,147-2
54473,3,2.0,1.0,5,35,4512,061-1
4300,2,21.0,1.0,3,21,4513,065-8
54474,2,1.0,2.0,5,26,4514,070-0
52970,2,6.0,1.0,3,44,4515,107-5
77510,2,25.0,1.0,4,21,4516,370-8
66129,1,6.0,1.0,4,20,4517,106-4
39270,4,6.0,1.0,5,36,4518,010-2
32575,2,25.0,2.0,4,22,4519,768-2
9730,2,6.0,2.0,3,34,4521,499-9
86320,3,6.0,2.0,5,28,4522,055-7
94520,2,6.0,2.0,5,22,4523,002-5
77510,3,6.0,1.0,5,26,4524,335-6
7950,1,6.0,2.0,3,21,4526,195-1
56530,3,6.0,2.0,5,29,4528,074-5
54040,2,2.0,2.0,5,40,4529,180-9
14400,1,6.0,1.0,4,22,4530,159-A
78340,4,6.0,1.0,5,26,4531,074-0
57139,2,20.0,1.0,2,62,4532,151-8
38900,2,5.0,1.0,4,37,4533,056-5
53426,2,26.0,1.0,5,28,4534,204-4
78394,2,1.0,1.0,3,19,4535,269-6
7200,3,21.0,1.0,5,21,4539,020-5
72014,1,7.0,2.0,2,40,4540,484-3
65550,2,6.0,2.0,3,29,4541,014-8
54942,2,6.0,1.0,5,23,4542,096-8
6800,2,5.0,1.0,3,25,4543,115-9
88710,3,29.0,1.0,3,45,4544,382-0
39074,3,9.0,2.0,5,29,4545,260-A
42088,2,6.0,2.0,5,27,4547,281-1
54000,1,6.0,2.0,4,24,4548,039-3
45402,2,5.0,1.0,5,20,4550,085-7
39660,2,2.0,2.0,3,33,4551,243-5
83117,3,1.0,2.0,5,23,4552,828-3
11520,7,1.0,1.0,6,31,4553,057-1
2719,2,6.0,1.0,3,25,4554,059-5
51367,3,2.0,1.0,5,22,4555,062-8
51860,2,6.0,1.0,2,34,4559,004-4
9600,1,9.0,1.0,5,23,4560,261-5
32230,2,22.0,2.0,5,40,4561,424-5
75809,2,6.0,2.0,5,38,4563,016-4
54466,2,6.0,1.0,3,26,4564,117-9
29950,3,6.0,2.0,3,29,4565,206-3
32576,1,6.0,1.0,4,42,4566,657-6
56613,2,6.0,1.0,3,23,4567,009-0
1410,2,2.0,1.0,5,23,4568,048-9
56373,2,6.0,1.0,5,20,4569,031-0
55130,4,6.0,1.0,3,25,4570,281-8
37538,2,6.0,1.0,5,31,4571,324-1
55200,2,6.0,1.0,3,20,4572,080-7
4369,2,6.0,1.0,5,22,4573,080-2
42186,2,5.0,1.0,3,32,4574,145-2
9780,3,6.0,2.0,5,29,4575,205-1
25000,3,4.0,2.0,2,20,4576,023-3
32584,1,2.0,2.0,5,25,4577,456-5
31146,2,6.0,1.0,4,21,4578,585-1
42084,3,2.0,2.0,6,33,4579,250-6
52044,1,6.0,1.0,5,21,4580,034-5
73900,4,6.0,1.0,5,20,4581,012-5
6700,3,6.0,1.0,3,25,4582,110-6
54407,2,6.0,1.0,5,23,4583,121-5
14200,1,1.0,1.0,3,20,4584,084-A
54050,2,6.0,1.0,4,30,4585,048-2
22170,1,6.0,1.0,5,44,4586,613-5
77710,2,2.0,1.0,5,27,4587,004-8
88799,1,6.0,1.0,2,38,4588,279-0
54140,3,20.0,2.0,5,68,4591,181-3
54783,3,6.0,1.0,2,23,4593,020-9
54770,2,26.0,1.0,5,23,4594,019-6
50170,4,5.0,1.0,5,31,4595,335-4
4800,2,6.0,1.0,5,31,4596,136-A
55749,1,2.0,2.0,5,23,4597,043-3
42186,2,35.0,1.0,5,22,4598,138-2
1460,2,2.0,1.0,3,20,4599,052-5
78430,3,6.0,1.0,5,25,4601,132-A
9300,2,2.0,1.0,3,24,4602,055-3
22254,2,24.0,2.0,5,47,4603,603-1
20299,2,24.0,1.0,5,22,4604,398-6
7070,3,2.0,1.0,5,23,4605,116-7
45615,2,6.0,2.0,3,20,4606,274-8
13300,2,26.0,1.0,3,28,4607,141-2
14100,2,2.0,1.0,5,30,4609,149-6
10640,2,6.0,1.0,3,23,4610,042-3
15850,3,1.0,1.0,4,21,4611,141-6
56507,4,6.0,1.0,5,27,4612,065-6
56514,2,2.0,1.0,3,21,4613,144-2
61640,2,11.0,1.0,3,45,4614,003-A
44960,2,6.0,2.0,5,30,4615,543-6
60950,2,5.0,1.0,5,25,4617,094-9
20287,2,2.0,1.0,5,27,4618,221-0
2240,2,6.0,1.0,4,23,4619,022-2
54943,3,6.0,1.0,4,20,4621,160-8
7870,4,26.0,2.0,5,25,4622,174-A
33020,4,1.0,1.0,5,28,4623,127-4
31385,2,6.0,2.0,2,21,4625,864-4
2100,2,26.0,2.0,3,33,4626,117-A
1600,2,5.0,1.0,2,20,4627,092-A
7839,3,6.0,2.0,3,21,4628,188-1
53690,2,5.0,2.0,5,23,4629,231-1
56340,1,6.0,1.0,5,25,4630,126-6
63732,1,2.0,2.0,2,24,4631,026-8
55069,2,6.0,1.0,3,24,4632,275-2
58030,3,6.0,2.0,4,34,4633,036-3
62820,2,36.0,2.0,5,27,4634,011-3
57130,2,6.0,1.0,3,20,4635,015-3
60300,2,6.0,1.0,3,19,4636,037-5
44470,1,6.0,1.0,5,23,4637,373-0
29000,2,6.0,1.0,5,25,4638,094-6
56560,3,6.0,1.0,2,24,4639,104-8
45079,3,24.0,2.0,5,25,4640,545-9
22125,2,6.0,1.0,3,27,4643,791-3
42084,2,6.0,1.0,5,25,4644,134-9
54435,4,6.0,1.0,5,26,4645,116-4
54120,7,1.0,1.0,5,40,4646,009-2
55050,3,2.0,1.0,4,22,4647,250-2
88655,2,6.0,1.0,2,66,4648,294-5
77524,1,6.0,1.0,1,29,4649,024-3
53696,3,6.0,1.0,4,23,4650,182-6
57200,2,6.0,1.0,3,25,4655,026-1
52083,4,26.0,2.0,5,26,4656,027-5
78438,3,1.0,1.0,5,20,4657,074-5
13540,2,6.0,2.0,3,30,4659,100-3
55200,1,6.0,1.0,3,25,4660,082-6
55710,2,6.0,1.0,3,40,4662,007-1
7320,3,24.0,1.0,5,23,4663,285-6
9030,2,1.0,1.0,5,20,4664,018-2
72960,3,6.0,2.0,3,26,4665,565-9
22000,3,6.0,1.0,3,26,4666,303-7
56530,2,6.0,2.0,5,23,4667,094-2
66646,2,6.0,1.0,3,23,4668,258-A
54467,3,6.0,1.0,3,22,4669,091-2
9420,3,6.0,1.0,4,20,4670,037-5
38271,1,6.0,2.0,3,23,4671,006-0
9090,3,2.0,2.0,4,58,4672,094-3
53660,2,6.0,1.0,3,20,4673,032-A
57000,3,20.0,2.0,1,54,4675,052-4
55719,2,6.0,2.0,4,21,4676,042-3
43800,2,20.0,2.0,3,47,4677,022-8
57740,2,9.0,2.0,5,33,4678,126-A
71232,3,6.0,1.0,3,23,4679,051-4
52918,2,9.0,1.0,5,21,4680,175-1
42083,3,28.0,2.0,5,24,4681,059-0
7310,3,2.0,2.0,5,26,4682,284-1
22235,3,5.0,1.0,4,26,4683,720-3
50100,4,6.0,2.0,5,25,4684,193-0
6250,1,6.0,2.0,4,20,4685,013-1
7310,2,6.0,1.0,2,29,4686,283-7
55900,2,6.0,2.0,3,20,4687,015-8
78150,3,6.0,2.0,5,28,4688,143-3
11850,4,4.0,1.0,5,30,4689,102-9
7070,2,1.0,1.0,5,20,4690,116-7
56300,2,6.0,2.0,3,23,4691,017-6
9850,3,2.0,2.0,5,32,4692,588-9
44720,2,25.0,1.0,4,20,4693,317-7
76220,3,6.0,1.0,5,28,4695,331-2
76113,2,5.0,1.0,5,30,4696,168-9
76138,3,26.0,1.0,5,25,4697,177-8
6470,6,6.0,1.0,5,27,4698,067-8
7870,4,2.0,2.0,3,29,4699,175-4
55050,2,5.0,1.0,3,32,4701,211-2
9430,1,5.0,2.0,5,46,4702,363-2
68010,3,35.0,1.0,3,39,4704,202-2
84093,6,24.0,1.0,5,55,4705,042-6
54474,3,26.0,1.0,3,24,4706,060-7
32000,1,24.0,1.0,5,24,4707,083-A
7540,4,2.0,2.0,5,41,4708,333-7
56580,4,24.0,2.0,3,46,4710,131-5
50160,3,6.0,2.0,5,24,4711,086-2
54949,1,6.0,2.0,5,26,4712,060-A
52160,3,6.0,1.0,5,23,4713,076-0
47440,2,6.0,2.0,2,35,4715,118-4
1270,1,6.0,2.0,1,41,4716,152-3
37530,2,6.0,1.0,4,31,4717,466-3
37207,2,6.0,1.0,5,23,4718,398-5
9230,3,9.0,1.0,5,38,4721,525-3
30890,2,6.0,1.0,3,20,4722,033-A
52106,3,6.0,1.0,5,21,4723,351-3
41400,4,2.0,1.0,3,54,4724,029-0
29290,3,6.0,2.0,3,22,4725,058-A
55064,2,26.0,1.0,3,19,4726,390-5
86050,3,36.0,2.0,5,26,4728,010-2
56334,3,8.0,2.0,3,28,4732,125-1
16500,3,33.0,1.0,5,40,4733,136-6
55749,2,26.0,1.0,3,23,4737,093-1
1460,3,1.0,2.0,5,24,4738,051-0
22535,3,2.0,2.0,4,49,4739,296-5
55712,2,5.0,2.0,5,28,4740,089-A
55764,2,20.0,1.0,1,61,4741,051-8
57300,2,1.0,1.0,3,26,4742,050-5
32575,2,6.0,1.0,3,28,4743,729-2
55700,2,6.0,2.0,5,20,4744,004-8
11470,3,6.0,2.0,5,42,4746,131-5
11520,4,5.0,2.0,5,24,4747,057-1
22435,3,,1.0,4,23,4748,565-4
88735,2,6.0,1.0,3,30,4749,246-6
56300,3,2.0,2.0,3,23,4750,017-6
9860,3,9.0,1.0,5,31,4751,197-5
57300,2,6.0,2.0,6,28,4752,050-5
52170,3,6.0,1.0,4,26,4753,097-2
45650,3,5.0,1.0,3,23,4755,083-3
77517,3,6.0,1.0,5,23,4756,357-2
52929,3,2.0,2.0,3,55,4757,111-1
86640,4,5.0,1.0,5,26,4758,051-9
14030,2,6.0,1.0,5,21,4759,013-A
83116,3,1.0,1.0,5,55,4761,623-4
83170,3,1.0,1.0,5,24,4762,250-9
9830,2,6.0,1.0,3,21,4765,384-4
52765,3,6.0,1.0,3,23,4766,048-8
57200,2,6.0,2.0,4,55,4767,029-5
29160,2,6.0,1.0,4,20,4768,043-4
1400,3,6.0,1.0,5,27,4771,236-2
53689,3,6.0,1.0,3,24,4772,218-6
9410,1,34.0,2.0,5,44,4773,543-1
25110,2,6.0,1.0,3,42,4774,570-9
42186,2,9.0,2.0,5,27,4776,124-0
53120,1,6.0,1.0,4,49,4777,200-6
54189,2,6.0,2.0,3,22,4778,161-6
55018,2,6.0,2.0,5,22,4781,459-A
27900,2,4.0,2.0,5,25,4783,005-1
32600,2,2.0,1.0,5,21,4784,431-5
52540,2,6.0,1.0,3,24,4786,004-9
9208,2,6.0,1.0,3,24,4787,581-7
22330,3,6.0,1.0,5,21,4788,727-5
22224,4,6.0,1.0,5,26,4789,175-5
8100,2,4.0,1.0,5,20,4790,007-7
62764,2,6.0,1.0,2,31,4792,035-8
55090,1,2.0,2.0,4,70,4793,368-0
37570,2,6.0,1.0,4,21,4795,399-A
93250,2,6.0,1.0,5,21,4796,084-0
56373,2,1.0,2.0,3,30,4797,032-5
1400,2,6.0,1.0,5,21,4798,050-6
10200,4,6.0,2.0,5,26,4800,016-0
55713,2,2.0,1.0,5,21,4801,051-2
21700,3,6.0,1.0,3,38,4802,671-3
55114,3,20.0,1.0,2,61,4803,323-3
50180,2,6.0,2.0,4,23,4804,206-A
54680,3,32.0,2.0,4,35,4805,017-8
67190,2,6.0,1.0,4,21,4808,162-0
66612,2,9.0,1.0,3,20,4809,104-5
32640,1,25.0,1.0,5,50,4810,383-4
32180,2,5.0,2.0,3,20,4811,402-9
20263,2,6.0,1.0,5,39,4812,264-9
3100,3,6.0,2.0,5,24,4813,058-1
56356,2,6.0,2.0,3,52,4814,076-6
1210,2,1.0,1.0,5,28,4818,029-6
9600,3,32.0,1.0,5,34,4819,261-5
54170,4,6.0,2.0,3,32,4821,226-2
45680,2,7.0,1.0,3,21,4822,037-A
52930,3,26.0,2.0,5,22,4823,040-A
43000,3,2.0,1.0,5,37,4824,061-5
62756,2,6.0,1.0,5,25,4827,086-6
55020,3,6.0,1.0,2,20,4829,301-7
14710,2,36.0,1.0,4,21,4830,169-3
54140,4,6.0,2.0,5,21,4831,037-4
45140,4,24.0,1.0,5,25,4832,269-A
6800,2,6.0,1.0,5,29,4834,104-0
52777,2,6.0,2.0,3,20,4836,006-4
50010,3,6.0,1.0,5,28,4837,325-0
22604,3,33.0,2.0,3,21,4838,376-6
2010,3,2.0,2.0,5,26,4839,032-6
3020,2,6.0,2.0,3,27,4841,006-4
2650,3,24.0,2.0,4,20,4842,038-3
11520,3,26.0,2.0,5,24,4843,057-1
